DATE,STEPS,KILOMETERS,CALORIES BURNT
2023-06-01,7609.0,5.59,295.0
2023-06-02,3095.0,2.23,122.0
2023-06-03,5479.0,3.99,213.0
2023-06-04,2575.0,1.87,101.0
2023-06-05,4726.0,3.34,186.0
2023-06-06,5816.0,4.22,231.0
2023-06-07,5816.0,4.22,231.0
2023-06-08,3577.0,2.6,143.0
2023-06-09,6499.0,4.7,256.0
2023-06-10,5861.0,4.22,232.0
2023-06-11,5861.0,4.22,232.0
2023-06-12,4199.0,3.05,164.0
2023-06-13,8925.0,6.48,353.0
2023-06-14,5855.0,4.39,239.0
2023-06-15,9230.0,6.76,371.0
2023-06-16,9230.0,6.76,371.0
2023-06-17,3684.0,2.75,143.0
2023-06-18,3336.0,2.44,127.0
2023-06-19,436.0,0.32,16.0
2023-06-20,612.0,0.45,22.0
2023-06-21,3986.0,2.92,151.0
2023-06-22,3613.0,2.7,141.0
2023-06-23,4680.0,3.42,183.0
2023-06-24,8327.0,6.0,327.0
2023-06-25,8327.0,6.0,327.0
2023-06-26,8717.0,6.45,344.0
2023-06-27,6588.0,4.81,253.0
2023-06-28,5638.0,4.09,216.0
2023-06-29,7099.0,5.23,268.0
2023-06-30,7635.0,5.65,288.0
2023-07-01,9232.0,6.87,338.0
2023-07-02,13226.0,9.38,530.0
2023-07-03,1434.0,1.06,52.0
2023-07-04,8357.0,6.1,330.0
2023-07-05,8357.0,6.1,330.0
2023-07-06,482.0,0.35,18.0
2023-07-07,641.0,0.45,26.0
2023-07-08,5051.0,3.65,198.0
2023-07-09,3862.0,2.86,147.0
2023-07-10,4078.0,2.98,160.0
2023-07-11,746.0,0.53,28.0
2023-07-12,746.0,0.53,28.0
2023-07-13,2011.0,1.47,77.0
2023-07-14,3239.0,2.34,128.0
2023-07-15,5348.0,3.91,212.0
2023-07-16,5348.0,3.91,212.0
2023-07-17,1920.0,1.41,73.0
2023-07-18,18308.0,13.12,733.0
2023-07-19,11511.0,8.39,457.0
2023-07-20,14971.0,10.87,599.0
2023-07-21,11861.0,8.65,469.0
2023-07-22,4490.0,3.3,174.0
2023-07-23,18294.0,13.31,723.0
2023-07-24,1240.0,0.91,47.0
2023-07-25,1240.0,0.91,47.0
2023-07-26,2218.0,1.62,85.0
2023-07-27,2524.0,1.82,100.0
2023-07-28,7700.0,5.68,295.0
2023-07-29,1624.0,1.16,63.0
2023-07-30,1624.0,1.16,63.0
2023-07-31,3287.0,2.4,128.0
2023-08-01,4844.0,3.61,189.0
2023-08-02,4844.0,3.61,189.0
2023-08-03,8556.0,6.41,338.0
2023-08-04,1988.0,1.48,78.0
2023-08-05,2052.0,1.52,81.0
2023-08-06,3149.0,2.31,120.0
2023-08-07,10761.0,7.79,426.0
2023-08-08,1883.0,1.39,72.0
2023-08-09,1883.0,1.39,72.0
2023-08-10,7803.0,5.84,307.0
2023-08-11,2093.0,1.48,84.0
2023-08-12,8262.0,6.04,321.0
2023-08-13,8031.0,5.79,320.0
2023-08-14,8031.0,5.79,320.0
2023-08-15,4464.0,3.3,174.0
2023-08-16,7724.0,5.66,306.0
2023-08-17,18241.0,13.37,723.0
2023-08-18,14856.0,10.85,593.0
2023-08-19,14856.0,10.85,593.0
2023-08-20,1157.0,0.83,45.0
2023-08-21,6192.0,4.47,245.0
2023-08-22,6192.0,4.47,245.0
2023-08-23,7775.0,5.59,314.0
2023-08-24,3118.0,2.24,124.0
2023-08-25,2479.0,1.78,99.0
2023-08-26,15653.0,11.38,629.0
2023-08-27,15653.0,11.38,629.0
2023-08-28,4419.0,3.19,174.0
2023-08-29,5602.0,4.04,221.0
2023-08-30,8172.0,5.94,324.0
2023-08-31,8424.0,6.1,335.0
2023-09-01,9057.0,6.56,356.0
2023-09-02,11343.0,8.35,446.0
2023-09-03,5323.0,3.88,211.0
2023-09-04,10270.0,7.43,403.0
2023-09-05,10270.0,7.43,403.0
2023-09-06,6088.0,4.43,242.0
2023-09-07,5152.0,3.74,206.0
2023-09-08,6648.0,4.82,265.0
2023-09-09,6457.0,4.73,253.0
2023-09-10,6457.0,4.73,253.0
2023-09-11,7711.0,5.61,305.0
2023-09-12,7711.0,5.61,305.0
2023-09-13,6326.0,4.57,252.0
2023-09-14,5766.0,4.2,227.0
2023-09-15,5751.0,4.18,228.0
2023-09-16,8360.0,6.11,329.0
2023-09-17,5045.0,3.68,200.0
2023-09-18,14295.0,10.41,567.0
2023-09-19,14295.0,10.41,567.0
2023-09-20,6617.0,4.83,256.0
2023-09-21,8696.0,6.28,341.0
2023-09-22,5451.0,3.96,216.0
2023-09-23,5451.0,3.96,216.0
2023-09-24,1741.0,1.27,69.0
2023-09-25,6330.0,4.62,249.0
2023-09-26,5023.0,3.6,198.0
2023-09-27,8201.0,5.94,324.0
2023-09-28,8591.0,6.24,337.0
2023-09-29,8591.0,6.24,337.0
2023-09-30,7049.0,5.16,279.0
2023-10-01,4643.0,3.38,177.0
2023-10-02,5060.0,3.71,199.0
2023-10-03,5975.0,4.41,234.0
2023-10-04,2011.0,1.45,78.0
2023-10-05,2011.0,1.45,78.0
2023-10-06,15560.0,11.48,615.0
2023-10-07,8144.0,5.99,323.0
2023-10-08,13082.0,9.79,517.0
2023-10-09,13082.0,9.79,517.0
2023-10-10,8636.0,6.27,339.0
2023-10-11,9254.0,6.74,365.0
2023-10-12,8103.0,5.93,318.0
2023-10-13,8103.0,5.93,318.0
2023-10-14,4868.0,3.55,188.0
2023-10-15,4868.0,3.55,188.0
2023-10-16,7880.0,5.74,307.0
2023-10-17,9583.0,6.98,378.0
2023-10-18,12736.0,9.39,510.0
2023-10-19,8778.0,6.33,348.0
2023-10-20,11579.0,8.44,459.0
2023-10-21,11579.0,8.44,459.0
2023-10-22,6174.0,4.51,239.0
2023-10-23,2162.0,1.59,83.0
2023-10-24,6985.0,5.11,270.0
2023-10-25,5082.0,3.8,198.0
2023-10-26,5082.0,3.8,198.0
2023-10-27,1147.0,0.84,42.0
2023-10-28,3388.0,2.47,130.0
2023-10-29,4074.0,3.0,159.0
2023-10-30,15933.0,11.76,630.0
2023-10-31,17278.0,12.69,681.0
2023-11-01,8448.0,6.14,331.0
2023-11-02,8448.0,6.14,331.0
2023-11-03,8866.0,6.52,351.0
2023-11-04,8288.0,6.06,328.0
2023-11-05,8288.0,6.06,328.0
2023-11-06,9186.0,6.69,363.0
2023-11-07,7121.0,5.22,285.0
2023-11-08,7121.0,5.22,285.0
2023-11-09,7257.0,5.3,289.0
2023-11-10,7272.0,5.36,280.0
2023-11-11,7291.0,5.27,288.0
2023-11-12,9807.0,7.15,388.0
2023-11-13,9807.0,7.15,388.0
2023-11-14,831.0,0.61,31.0
2023-11-15,4775.0,3.56,186.0
2023-11-16,5786.0,4.21,230.0
2023-11-17,4984.0,3.66,200.0
2023-11-18,6778.0,4.93,270.0
2023-11-19,5313.0,3.9,209.0
